name,ring,quadrant,isNew,description
Scrum,Adopt,Techniques,FALSE,"<p>We have decided to adopt the Scrum framework for our project. By embracing Scrum, we will be able to organize our development process into iterative sprints, collaborate effectively as a team, and deliver valuable features to our mobile app and admin panel. Scrum will provide us with a structured and flexible approach to project management, enabling us to respond quickly to changing requirements and deliver high-quality software.</p>"
Jira,Adopt,Tools,FALSE,"<p>We have chosen to adopt Jira as our project management tool. With Jira, we can track our tasks, manage project timelines, and ensure transparency within our team. Jira's features such as customizable workflows, agile boards, and real-time reporting will enable us to streamline our development process and efficiently manage our tasks, issues, and progress.</p>"
Confluence,Adopt,Tools,FALSE,"<p>We have decided to adopt Confluence as our collaboration platform. Confluence will serve as our centralized knowledge base, allowing us to document project requirements, share meeting notes, and collaborate on important documents. By adopting Confluence, we will promote effective communication, facilitate knowledge sharing, and improve overall project documentation and decision-making processes.</p>"
Expo,Adopt,Tools,FALSE,"<p>We have chosen to adopt Expo as our development framework for our React Native mobile app. Expo provides a comprehensive set of tools, libraries, and pre-built components that will help us accelerate our development process. With Expo, we can easily build, test, and deploy our app across multiple platforms, while also benefiting from features like over-the-air updates and simplified app deployment.</p>"
GitHub,Adopt,Tools,FALSE,"<p>We have decided to adopt GitHub as our version control and collaboration platform. By using GitHub, we can effectively manage our source code, track changes, and enable seamless collaboration among our team members. GitHub's pull request and code review features will help us maintain code quality, while its integration with other development tools will streamline our workflow and enhance productivity.</p>"
Google Cloud,Adopt,Tools,FALSE,"<p>We have chosen to adopt Google Cloud as our cloud computing platform. Google Cloud offers a comprehensive set of services and infrastructure that will support our mobile app and admin panel. By leveraging Google Cloud, we can benefit from scalable and reliable resources, including storage, databases, and AI/ML services, ensuring the performance, security, and scalability of our applications.</p>"
React,Adopt,Languages & Frameworks,FALSE,"<p>We have decided to adopt React as our JavaScript library for building user interfaces. With React, we can create interactive and reusable UI components, making it easier to develop and maintain complex interfaces for both our mobile app and admin panel. React's component-based architecture promotes code reusability, modularity, and a streamlined development experience.</p>"
React Native,Adopt,Languages & Frameworks,FALSE,"<p>We have chosen to adopt React Native as our framework for building cross-platform mobile applications. By using React Native, we can leverage our JavaScript skills to develop native mobile apps for both iOS and Android platforms. React Native allows us to share code between platforms, reducing development time and effort, while still providing access to native device features and performance.</p>"
TypeScript,Adopt,Languages & Frameworks,FALSE,"<p>We have decided to adopt TypeScript as our programming language for our React Native project. TypeScript's static typing and additional language features will help us catch errors early in the development process, improve code quality, and enhance the overall maintainability of our codebase. With TypeScript, we can enjoy better tooling support and increased scalability for our project.</p>"
Shell,Adopt,Languages & Frameworks,FALSE,"<p>We have chosen to adopt Shell scripting to automate various tasks in our project. Shell scripting will allow us to automate repetitive processes, create custom scripts for build and deployment tasks, and enhance the efficiency of our development workflow. By adopting Shell scripting, we can save time, reduce human error, and increase the overall productivity of our team.</p>"
Javascript,Adopt,Languages & Frameworks,FALSE,"<p>We have decided to adopt JavaScript as our primary programming language for our project. JavaScript is a versatile and widely-used language that will enable us to build dynamic and interactive features for our mobile app and admin panel. With JavaScript's extensive ecosystem of libraries, frameworks, and tools, we can leverage existing resources and community support to expedite our development process.</p>"
AI,Assess,Tools,TRUE,"<p>We are currently assessing the potential of AI technologies for our project. AI has the capability to enhance our mobile app and admin panel with intelligent features and automation. For example, we are exploring AI-powered voice recognition for speech-to-text functionality, which would enable users to dictate text input. We are researching different AI frameworks, algorithms, and APIs to assess their accuracy, performance, and integration possibilities. Through assessment, we aim to determine the best approach to leverage AI in our project effectively.</p>"
Rust,Hold,Languages & Frameworks,TRUE,"<p>Currently, we have decided to put Rust on hold for our project. While Rust is a powerful and efficient programming language known for its memory safety and concurrency features, we have determined that it may not be the most suitable choice for our React Native project. As of now, we will not be implementing Rust in our technology stack. However, we will keep an eye on its future developments and potential use cases that may align better with our project requirements.</p>"
Go,Assess,Languages & Frameworks,TRUE,"<p>We are currently assessing the suitability of Go programming language for our project. Go is known for its simplicity, performance, and concurrency capabilities. We are evaluating whether Go can effectively address our project's specific requirements, such as backend services or performance-critical components. By conducting thorough assessments, including examining the language's ecosystem, community support, and integration possibilities, we aim to make an informed decision about adopting Go in our technology stack.</p>"
AWS,Hold,Platforms,TRUE,"<p>At present, we have decided to put AWS (Amazon Web Services) on hold for our project. While AWS offers a comprehensive suite of cloud computing services, including storage, database, and AI capabilities, we have determined that alternative cloud providers or infrastructures may better align with our project's needs. Therefore, we will not be adopting AWS in our technology stack. However, we will continue to evaluate the evolving cloud landscape and re-evaluate AWS if the need arises.</p>"
Figma,Adopt,Tools,FALSE,"<p>We have chosen to adopt Figma as our design and prototyping tool for our project. Figma is a collaborative interface design tool that allows our designers and developers to work together seamlessly. With Figma, we can create and iterate on UI designs, create interactive prototypes, and collaborate in real-time with our team members. Figma's cloud-based platform enables easy sharing and version control of design files, ensuring that everyone is on the same page throughout the design process. By adopting Figma, we can streamline our design workflow, improve collaboration, and ultimately deliver a polished and user-friendly mobile app and admin panel.</p>"
Jenkins,Hold,Tools,FALSE,"<p>Currently, we have decided to put Jenkins on hold for our project. Jenkins is a popular automation server used for continuous integration and continuous delivery (CI/CD) pipelines. However, after careful consideration, we have determined that alternative CI/CD tools or services may better suit our project's specific requirements. Therefore, we will not be adopting Jenkins at this stage. We will continue to monitor the evolving landscape of CI/CD solutions to ensure we choose the most suitable option.</p>"
